isbn,title,author,category,sub_category,description,publisher,year_of_publication,language,num_pages,img_link
074343627X,Dreamcatcher,Stephen King,Genre Fiction,Literature & Fiction,"Once upon a time, in the haunted city of Derry, four boys stood together and did a brave thing. It was something that changed them in ways they could never begin to understand.Twenty-five years after saving a Down's-syndrome kid from bullies, Beav, Henry, Pete, and Jonesy -- now men with separate lives and separate problems -- reunite in the woods of Maine for their annual hunting trip. But when a stranger stumbles into their camp, disoriented and mumbling something about lights in the sky, chaos erupts. Soon, the four friends are plunged into a horrifying struggle with a creature from another world where their only chance of survival is locked in their shared past -- and in the Dreamcatcher.Never before has Stephen King contended so frankly with the heart of darkness.Dreamcatcher,his first full-length novel sinceBag of Bones,is a powerful story of astonishing range that will satisfy fans both new and old.Read more",Pocket Books ,2001,English,896,"https://images-na.ssl-images-amazon.com/images/I/51B4l-guYaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0553580221,False Memory,Dean Koontz,Genre Fiction,Literature & Fiction,"It's a fear more paralyzing than falling. More terrifying than absolute darkness. More horrifying than anything you can imagine. It's the one fear you cannot escape, no matter where you run...no matter where you hide. It's the fear of yourself. It's real. It can happen to you. And facing it can be deadly.Fear for your mind.Read more",Bantam 1st ptg. edition ,2000,English,784,"https://images-na.ssl-images-amazon.com/images/I/41b6+fabnoL._SY344_BO1,204,203,200_.jpg"
0060575913,Coraline,Neil Gaiman,Growing Up & Facts of Life,Children's Books,"New York Timesbestselling and Newbery Medal-winning author Neil Gaiman’s modern classic,Coraline—also an Academy Award-nominated film""Coraline discovered the door a little while after they moved into the house....""When Coraline steps through a door to find another house strangely similar to her own (only better), things seem marvelous.But there's another mother there, and another father, and they want her to stay and be their little girl. They want to change her and never let her go.Coraline will have to fight with all her wit and courage if she is to save herself and return to her ordinary life.Neil Gaiman'sCoralineis a can't-miss classic that enthralls readers age 8 to 12 but also adults who enjoy a perfect smart spooky read.Read more",HarperTrophy Reissue edition ,2004,English,194,"https://images-na.ssl-images-amazon.com/images/I/41LvLGOa3EL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson (Confessions of Georgia Nicolson, Book 1)",Louise Rennison,Literature & Fiction,Teen & Young Adult,"Angus:My mixed-breed cat, half domestic tabby, half Scottish wildcat. The size of a small Labrador, only mad.Thongs:Stupid underwear. What's the point of them, anyway? They just go up your bum, as far as I can tell.Full-Frontal Snogging:Kissing with all the trimmings, lip to lip, open mouth, tongues ... everything.Her dad's got the mentality of a Teletubby (only not so developed). Her cat, Angus, is trying to eat the poodle next door. And her best friend thinks she looks like an alien -- just because she accidentally shaved off her eyebrows. Ergghhhlack. Still, add a little boy-stalking, teacher-baiting, and full-frontal snogging with a Sex God, and Georgia's year just might turn out to be the most fabbitty fab fab ever!Read more",HarperTeen ,2006,English,247,"https://images-na.ssl-images-amazon.com/images/I/41uXjn+TjPS._SY344_BO1,204,203,200_.jpg"
0553582917,Intensity,Dean Koontz,Genre Fiction,Literature & Fiction,"Past midnight, Chyna Shepard, twenty-six, gazes out a moonlit window, unable to sleep on her first night in the Napa Valley home of her best friend’s family. Instinct proves reliable. A murderous sociopath, Edgler Foreman Vess, has entered the house, intent on killing everyone inside. A self-proclaimed “homicidal adventurer,” Vess lives only to satisfy all appetites as they arise, to immerse himself in sensation, to live without fear, remorse or limits, to live withintensity.Chyna is trapped in his deadly orbit.Chyna is a survivor, toughened by a lifelong struggle for safety and self-respect. Now she will be tested as never before. At first her sole aim is to get out alive—until, by chance, she learns the identity of Vess’s next intended victim, a faraway innocent only she can save. Driven by a newly discovered thirst for meaning beyond mere self-preservation, Chyna musters every inner resource she has to save an endangered girl…as moment by moment, the terrifying threat of Edgler Foreman Vess intensifies.Read more",Bantam Reissue edition ,2000,English,464,"https://images-na.ssl-images-amazon.com/images/I/41jtvR-aaAL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0440219078,The Giver (21st Century Reference),Lois Lowry,Growing Up & Facts of Life,Children's Books,"Jonas's world is perfect. Everything is under control. There is no war or fear of pain. There are no choices. Every person is assigned a role in the community. When Jonas turns 12 he is singled out to receive special training from The Giver. The Giver alone holds the memories of the true pain and pleasure of life. Now, it is time for Jonas to receive the truth. There is no turning back.Read more",Laurel Leaf Reissue edition ,1994,English,192,"https://images-na.ssl-images-amazon.com/images/I/21S59YTSAQL._BO1,204,203,200_QL40_FMwebp_.jpg"
0671617028,The Color Purple,Alice Walker,Contemporary,Literature & Fiction,"Life wasn't easy for Celie. But she knew how to survive, needing little to get by. Then her husband's lover, a flamboyant blues singer, barreled into her world and gave Celie the courage to ask for more -- to laugh, to play, and finally -- to love.Read more",Pocket Books ,1985,English,295,"https://images-na.ssl-images-amazon.com/images/I/51UK67VvINL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0140440046,Candide: Or Optimism (Penguin Classics),Voltaire,United States,Literature & Fiction,"""All is for the best in the best of all possible worlds""It was the indifferent shrug and callous inertia that this ""optimism"" concealed which so angered Voltaire, who found the ""all for the best"" approach a patently inadequate response to suffering, to natural disasters, not to mention the questions of illness and man-made war. Moreover, as the rebel whose satiric genius had earned him not only international acclaim, but two stays in the Bastille, flogging, and exile, Voltaire knew personally what suffering entailed. In Candide he whisks his young hero and friends through a ludicrous variety of tortures, tragedies, and a reversal of fortune, in the company of Pangloss, a ""metaphysico-theologo-comolo-nigologist"" of unflinching optimism. The result is one of the glories of eighteenth-century satire.For more than sixty-five years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,500 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.Read more",Penguin Classics ,1950,English,144,"https://images-na.ssl-images-amazon.com/images/I/41Pw1RccEmL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0142001740,The Secret Life of Bees,Sue Monk Kidd,United States,Literature & Fiction,"The multi-million bestselling novel about a young girl's journey towards healing and the transforming power of love, from the award-winning author ofThe Invention of WingsandThe Book of LongingsSet in South Carolina in 1964,The Secret Life of Beestells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted Black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. Taken in by an eccentric trio of Black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story that women will share and pass on to their daughters for years to come.Read more",Penguin Books 1st edition ,2003,English,352,"https://images-na.ssl-images-amazon.com/images/I/51iEVzya87L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0812550706,Ender's Game (The Ender Quintet),Orson Scott Card,Science Fiction,Science Fiction & Fantasy,"In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut--young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training.Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers, Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister.Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If the world survives, that is.Winner of the Hugo and Nebula Awards.Read more",Tor Science Fiction ,1994,English,352,"https://images-na.ssl-images-amazon.com/images/I/51sfTXF6eUL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
1400031354,"Tears of the Giraffe (No. 1 Ladies Detective Agency, Book 2)",Alexander McCall Smith,Humor,Humor & Entertainment,"Fans around the world adore the bestselling No. 1 Ladies’ Detective Agency series and its proprietor, Precious Ramotswe, Botswana’s premier lady detective. In this charming series, Mma  Ramotswe—with help from her loyal associate, Grace Makutsi—navigates her cases and her personal life with wisdom, good humor, and the occasional cup of tea.Precious Ramotswe is the eminently sensible and cunning proprietor of the only ladies’ detective agency in Botswana. InTears of the Giraffeshe tracks a wayward wife, uncovers an unscrupulous maid, and searches for an American man who disappeared into the plains many years ago. In the midst of resolving uncertainties, pondering her impending marriage to a good, kind man, Mr. J. L. B. Matekoni, and the promotion of her talented secretary (a graduate of the Botswana Secretarial College, with a mark of 97 per cent), she also finds her family suddenly and unexpectedly increased by two.Read more",Anchor ,2002,English,240,"https://images-na.ssl-images-amazon.com/images/I/51mmhqgbttL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0385730586,Sisterhood of the Traveling Pants (Book 1),Ann Brashares,Literature & Fiction,Teen & Young Adult,"The first novel in the wildly popular #1New York Timesbestselling Sisterhood of the Traveling Pants series, from the author ofThe Whole Thing TogetherandThe Here and Now.Some friends just fit together.Once there was a pair of pants. Just an ordinary pair of jeans. But these pants, the Traveling Pants, went on to do great things. This is the story of the four friends—Lena, Tibby, Bridget, and Carmen—who made it possible.Pants = love. Love your pals. Love yourself.""Funny, perceptive, and moving."" --USA Today“An outstanding and vivid book that will stay with readers for a long time.” —Publishers Weekly, Starred, Flying Start“The loving depiction of enduring and solid friendship will ring true to readers.” —The Bulletin, Recommended“A feel-good novel of substance.” —Kirkus Reviews,Starred“Uplifting.” —SeventeenRead more",Ember ,2003,English,336,"https://images-na.ssl-images-amazon.com/images/I/51XPnliIcSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,Genre Fiction,Literature & Fiction,"Barbara Kingsolver's fifth novel is a hymn to wildness that celebrates the prodigal spirit of human nature, and of nature itself. It weaves together three stories of human love within a larger tapestry of lives amid the mountains and farms of southern Appalachia. Over the course of one humid summer, this novel's intriguing protagonists face disparate predicaments but find connections to one another and to the flora and fauna with which they necessarily share a place.Read more",Harper Perennial ,2001,English,464,"https://images-na.ssl-images-amazon.com/images/I/51habVcrqdL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0345361792,A Prayer for Owen Meany,John Irving,Genre Fiction,Literature & Fiction,"Owen Meany, the only child of a New Hampshire granite quarrier, believes he is God's instrument; he is.This is John Irving's most comic novel, yet Owen Meany is Mr. Irving's most heartbreaking character.""Roomy, intelligent, exhilarating and darkly comic...Dickensian in scope....Quite stunning and very ambitious.""LOS ANGELES TIMES BOOK REVIEW""John Irving is an abundantly and even joyfully talented storyteller.""THE NEW YORK TIMES BOOKR EVIEWRead more",Ballantine Books Reissue edition ,1990,English,619,"https://images-na.ssl-images-amazon.com/images/I/51YPKpd4TSL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,United States,Literature & Fiction,"Beginning in 1952, Daisy Fay Harper's journal chronicles the young girl's growth from a lonely and insecure eleven year old to the self-assured, flamboyant winner of the Miss Mississippi contest six years laterRead more",Warner Warner Books ed edition ,1992,English,320,"https://images-na.ssl-images-amazon.com/images/I/51HxmbycY6L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0316601950,The Pilot's Wife (Oprah's Book Club),Anita Shreve,Contemporary,Literature & Fiction,"Anita Shreve's hauntingly beautiful #1 bestseller and Oprah's Book Club selection about tragedy, grief, betrayal, and the 'impossibility of knowing another person.'As a pilot's wife, Kathryn has learned to expect both intense exhilaration and long periods alone, but nothing has prepared her for a late-night knock that lets her know her husband has died in a crash.Until now, Kathryn Lyons's life has been peaceful if unextraordinary: a satisfying job teaching high school in the New England mill town of her childhood; a picture-perfect home by the ocean; a precocious, independent-minded fifteen-year-old daughter; and a happy marriage whose occasional dull passages she attributes to the unavoidable deadening of time.As Kathryn struggles with her grief, she descends into a maelstrom of publicity stirred up by the modern hunger for the details of tragedy. Even before the plane is located in waters off the Irish coast, the relentless scrutiny of her husband's life begins to bring a bizarre personal mystery into focus. Could there be any truth to the increasingly disturbing rumors that he had a secret life?Read more",Back Bay Books First Edition ,1999,English,304,"https://images-na.ssl-images-amazon.com/images/I/51L79eb7N5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
080410753X,The Kitchen God's Wife,Amy Tan,Genre Fiction,Literature & Fiction,"""Tan is one of the prime storytellers writing fiction today.""NEWSWEEKWinnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past--including the terible truth even Helen does not know. And so begins Winnie's story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events tha led to Winnie's coming to America in 1949.""The kind of novel that can be read and reread with enormous pleasure.""CHICAGO TRIBUNERead more",Ivy Books Reprint edition ,1992,English,544,"https://images-na.ssl-images-amazon.com/images/I/61vOFdQcU4L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0385494785,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,Professionals & Academics,Biographies & Memoirs,"#1 NATIONAL BESTSELLER•""A harrowing tale of the perils of high-altitude climbing, a story of bad luck and worse judgment and of heartbreaking heroism."" —PEOPLEA bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that ""suggested that a murderous storm was bearing down."" He was wrong. The storm, which claimed five lives and left countless more--including Krakauer's--in guilt-ridden disarray, would also provide the impetus forInto Thin Air, Krakauer's epic account of the May 1996 disaster.By writingInto Thin Air, Krakauer may have hoped to exorcise some of his own demons and lay to rest some of the painful questions that still surround the event. He takes great pains to provide a balanced picture of the people and events he witnessed and gives due credit to the tireless and dedicated Sherpas. He also avoids blasting easy targets such as Sandy Pittman, the wealthy socialite who brought an espresso maker along on the expedition. Krakauer's highly personal inquiry into the catastrophe provides a great deal of insight into what went wrong. But for Krakauer himself, further interviews and investigations only lead him to the conclusion that his perceived failures were directly responsible for a fellow climber's death. Clearly, Krakauer remains haunted by the disaster, and although he relates a number of incidents in which he acted selflessly and even heroically, he seems unable to view those instances objectively. In the end, despite his evenhanded and even generous assessment of others' actions, he reserves a full measure of vitriol for himself.This updated trade paperback edition ofInto Thin Airincludes an extensive new postscript that sheds fascinating light on the acrimonious debate that flared between Krakauer and Everest guide Anatoli Boukreev in the wake of the tragedy.  ""I have no doubt that Boukreev's intentions were good on summit day,"" writes Krakauer in the postscript, dated August 1999. ""What disturbs me, though, was Boukreev's refusal to acknowledge the possibility that he made even a single poor decision. Never did he indicate that perhaps it wasn't the best choice to climb without gas or go down ahead of his clients."" As usual, Krakauer supports his points with dogged research and a good dose of humility. But rather than continue the heated discourse that has raged sinceInto Thin Air's denouncement of guide Boukreev, Krakauer's tone is conciliatory; he points most of his criticism at G. Weston De Walt, who coauthoredThe Climb, Boukreev's version of events. And in a touching conclusion, Krakauer recounts his last conversation with the late Boukreev, in which the two weathered climbers agreed to disagree about certain points. Krakauer had great hopes to patch things up with Boukreev, but the Russian later died in an avalanche on another Himalayan peak, Annapurna I.In 1999, Krakauer received an Academy Award in Literature from the American Academy of Arts and Letters--a prestigious prize intended ""to honor writers of exceptional accomplishment.""  According to the Academy's citation, ""Krakauer combines the tenacity and courage of the finest tradition of investigative journalism with the stylish subtlety and profound insight of the born writer.  His account of an ascent of Mount Everest has led to a general reevaluation of climbing and of the commercialization of what was once a romantic, solitary sport; while his account of the life and death of Christopher McCandless, who died of starvation after challenging the Alaskan wilderness, delves even more deeply and disturbingly into the fascination of nature and the devastating effects of its lure on a young and curious mind.""Read more",Anchor Reprint edition ,1999,English,332,"https://images-na.ssl-images-amazon.com/images/I/512t9z6JLLL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,Genre Fiction,Literature & Fiction,"TheNew York Timesbestselling classic of a young woman’s journey in work, love, and life“In this swinging, funny, and tender study of contemporary relationships, Bank refutes once and for all the popular notions of neurotic thirtysomething women.”—Entertainment Weekly“Truly poignant.” —TimeGenerous-hearted and wickedly insightful,The Girls’ Guide to Hunting and Fishingmaps the progress of Jane Rosenal as she sets out on a personal and spirited expedition through the perilous terrain of sex, love, relationships, and the treacherous waters of the workplace. Soon Jane is swept off her feet by an older man and into a Fitzgeraldesque whirl of cocktail parties, country houses, and rules that were made to be broken, but comes to realize that it’s a world where the stakes are much too high for comfort. With an unforgettable comic touch, Bank skillfully teases out universal issues, puts a clever new spin on the mating dance, and captures in perfect pitch what it’s like to come of age as a young woman.Read more",Penguin Books Reissue edition ,2000,English,288,"https://images-na.ssl-images-amazon.com/images/I/41FH5nR6GOL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0142002267,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,Puzzles & Games,Humor & Entertainment,"Scrabble may be truly called America's game. But for every group of ""living-room players"" there is someone who is ""at one with the board."" InWord Freak, Stefan Fatsis introduces readers to those few, exploring the underground world of colorful characters for which the Scrabble game is life-playing competitively in tournaments across the country. It is also the story of how the Scrabble game was invented by an unemployed architect during the Great Depression and how it has grown into the hugely successful, challenging, and beloved game it is today. Along the way, Fatsis chronicles his own obsession with the game and his development as a player from novice to expert. More than a book about hardcore Scrabble players,Word Freakis also an examination of notions of brilliance, memory, language, competition, and the mind that celebrates the uncanny creative powers in us all.A Book Sense 76 pick.Read more",Penguin Books 20th ed. edition ,2002,English,416,"https://images-na.ssl-images-amazon.com/images/I/51-+h+c72DL._SY344_BO1,204,203,200_.jpg"
0553572997,The Alienist,Caleb Carr,Genre Fiction,Literature & Fiction,"The year is 1896, the place, New York City. On a cold March nightNew York Timesreporter John Schuyler Moore is summoned to the East River by his friend and former Harvard classmate Dr. Laszlo Kreizler, a psychologist, or ""alienist."" On the unfinished Williamsburg Bridge, they view the horribly mutilated body of an adolescent boy, a prostitute from one of Manhattan's infamous brothels.The newly appointed police commissioner, Theodore Roosevelt, in a highly unorthodox move, enlists the two men in the murder investigation, counting on the reserved Kreizler's intellect and Moore's knowledge of New York's vast criminal underworld. They are joined by Sara Howard, a brave and determined woman who works as a secretary in the police department. Laboring in secret (for alienists, and the emerging discipline of psychology, are viewed by the public with skepticism at best), the unlikely team embarks on what is a revolutionary effort in criminology-- amassing a psychological profile of the man they're looking for based on the details of his crimes. Their dangerous quest takes them into the tortured past and twisted mind of a murderer who has killed before. and will kill again before the hunt is over.Fast-paced and gripping, infused with a historian's exactitude,The Alienistconjures up the Gilded Age and its untarnished underside: verminous tenements and opulent mansions, corrupt cops and flamboyant gangsters, shining opera houses and seamy gin mills. Here is a New York during an age when questioning society's belief that all killers are born, not made, could have unexpected and mortal consequences.Read more",Bantam ,1995,English,608,"https://images-na.ssl-images-amazon.com/images/I/51WD6H9WDXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0345370775,Jurassic Park: A Novel,Michael Crichton,Action & Adventure,Literature & Fiction,"An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Creatures once extinct now roam Jurassic Park, soon-to-be opened as a theme park. Until something goes wrong...and science proves a dangerous toy....""Wonderful...Powerful.""THE WASHINGTON POST BOOK WORLDRead more",Ballantine Books ,1991,English,416,"https://images-na.ssl-images-amazon.com/images/I/51XuIErIiIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0345380371,Rising Sun,Michael Crichton,Thrillers & Suspense,"Mystery, Thriller & Suspense","During the grand opening celebration of the new American headquarters of an immense Japanese conglomerate, the dead body of a beautiful woman is found. The investigation begins, and immediately becomes a headlong chase through a twisting maze of industrial intrigue and a violent business battle that takes no prisoners.Read more",Ballantine Books PF edition ,1992,English,416,"https://images-na.ssl-images-amazon.com/images/I/51nAbeJUVIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0671027360,Angels & Demons,Dan Brown,Thrillers & Suspense,"Mystery, Thriller & Suspense","An ancient secret brotherhood.A devastating new weapon of destruction.An unthinkable target.World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. Desperate to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and the most secretive vault on earth...the long-forgotten Illuminati lair.Read more",Pocket Star Books Reissue edition ,2001,English,572,"https://images-na.ssl-images-amazon.com/images/I/51MY9Q410WL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060392452,Stupid White Men ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,Politics & Government,Politics & Social Sciences,"Remember when everything was looking up? When the government was running at a surplus, pollution was disappearing, peace was breaking out in the Middle East and Northern Ireland, and the Bridge to the 21st century was strung with high–speed Internet cable and paved with 401K gold?Well, so much for the future. Michael Moore, the award–winning provocateur behindRoger & Meand the bestsellerDownsize This!, now returns to size up the new century – and that big, ugly special–interest group that's laying waste to the world as we know it: stupid white men. Whether he's calling for United Nations action to overthrow the Bush Family Junta, calling on African–Americans to place 'whites only' signs over the entrances of unfriendly businesses, or praying that Jesse Helms will get kissed by a man,Stupid White Menis Mike's Manifesto on Malfeasance and Mediocrity. So if you're feeling the same way and you're wondering what's going to give out first – the economy, Dick Cheney's pacemaker, or your new VW Beetle – here's the book for you.Read more",Harper 1st edition ,2002,English,304,"https://images-na.ssl-images-amazon.com/images/I/517ZiOJPJDL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0312291639,The Nanny Diaries: A Novel,Emma McLaughlin,Humor & Satire,Literature & Fiction,"Wanted:One young woman to take care of four-year-old boy. Must be cheerful, enthusiastic and selfless--bordering on masochistic. Must relish sixteen-hour shifts with a deliberately nap-deprived preschooler. Must love getting thrown up on, literally and figuratively, by everyone in his family. Must enjoy the delicious anticipation of ridiculously erratic pay. Mostly, must love being treated like fungus found growing out of employers Hermès bag. Those who take it personally need not apply.Whowouldn'twant this job? Struggling to graduate from NYU and afford her microscopic studio apartment, Nanny takes a position caring for the only son of the wealthy X family. She rapidly learns the insane amount of juggling involved to ensure that a Park Avenue wife who doesn't work, cook, clean, or raise her own child has a smooth day.When the Xs' marriage begins to disintegrate, Nanny ends up involved way beyond the bounds of human decency or good taste. Her tenure with the X family becomes a nearly impossible mission to maintain the mental health of their four-year-old, her own integrity and, most importantly, her sense of humor. Over nine tense months, Mrs. X and Nanny perform the age-old dance of decorum and power as they test the limits of modern-day servitude.Written by two former nannies,The Nanny Diariesdeftly punctures the glamour of Manhattan's upper class.Read more",St. Martin's Griffin First edition ,2003,English,320,"https://images-na.ssl-images-amazon.com/images/I/41Kiib8RbXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0679751521,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Americas,History,"“Elegant and wicked.... [This] might be the first true-crime book that makes the reader want to book a bed and breakfast for an extended weekend at the scene of the crime."" —The New York Times Book ReviewShots rang out in Savannah's grandest mansion in the misty,early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this hauntingly beautiful city of moss-hung oaks and shaded squares. John Berendt's sharply observed, suspenseful, and witty narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt skillfully interweaves a hugely entertaining first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.It is a spellbinding story peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproariously funny black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.Midnight in the Garden of Good and Evilis a sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city has become a modern classic.Read more",Vintage Reprint edition ,1999,English,400,"https://images-na.ssl-images-amazon.com/images/I/61JjAhO8Q+L._SY344_BO1,204,203,200_.jpg"
0804114986,The Bonesetter's Daughter: A Novel,Amy Tan,Genre Fiction,Literature & Fiction,"“The Bonesetter’s Daughterdramatically chronicles the tortured, devoted relationship between LuLing Young and her daughter Ruth. . . . A strong novel, filled with idiosyncratic, sympathetic characters, haunting images, historical complexity, significant contemporary themes, and suspenseful mystery.”–Los Angeles Times“TAN AT HER BEST . . . Rich and hauntingly forlorn . . . The writing is so exacting and unique in its detail.”–San Francisco Chronicle“For Tan, the true keeper of memory is language, and so the novel is layered with stories that have been written down–by mothers for their daughters, passing along secrets that cannot be said out loud but must not be forgotten.”–TheNew York Times Book Review“AMY TAN [HAS] DONE IT AGAIN. . . .The Bonesetter’s Daughtertells a compelling tale of family relationships; it layers and stirs themes of secrets, ambiguous meanings, cultural complexity and self-identity; and it resonates with metaphor and symbol.”–The Denver PostRead more",Ballantine Books Reissue edition ,2002,English,416,"https://images-na.ssl-images-amazon.com/images/I/51IeIXgANRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446670251,The Virgin Suicides,Jeffrey Eugenides,Genre Fiction,Literature & Fiction,"Juxtaposing the most common and the most gothic, the humorous and the tragic, author Jeffrey Eugenides creates a vivid and compelling portrait of youth and lost innocence. He takes us back to the elm-lined streets of suburbia in the seventies, and introduces us to the men whose lives have been forever changed by their fierce, awkward obsession with five doomed sisters: brainy Therese, fastidious Mary, ascetic Bonnie, libertine Lux, and pale, saintly Cecilia, whose spectacular demise inaugurates ""the year of the suicides."" This is the debut novel that caused a sensation and won immediate acclaim from the critics-a tender, wickedly funny tale of love and terror, sex and suicide, memory and imagination.Read more",Grand Central Publishing Reprint edition ,1994,English,256,"https://images-na.ssl-images-amazon.com/images/I/41AL4-Yt+HL._SY344_BO1,204,203,200_.jpg"
0375726403,Empire Falls,Richard Russo,Humor,Humor & Entertainment,"Winner of the Pulitzer Prize“Russo writes with a warm, vibrant humanity.... A stirring mix of poignancy, drama and comedy.”—The Washington PostWelcome to Empire Falls, a blue-collar town full of abandoned mills whose citizens surround themselves with the comforts and feuds provided by lifelong friends and neighbors and who find humor and hope in the most unlikely places, in this Pulitzer Prize-winning novel by Richard Russo.Miles Roby has been slinging burgers at the Empire Grill for 20 years, a job that cost him his college education and much of his self-respect. What keeps him there? It could be his bright, sensitive daughter Tick, who needs all his help surviving the local high school. Or maybe it’s Janine, Miles’ soon-to-be ex-wife, who’s taken up with a noxiously vain health-club proprietor. Or perhaps it’s the imperious Francine Whiting, who owns everything in town–and seems to believe that “everything” includes Miles himself. InEmpire FallsRichard Russo delves deep into the blue-collar heart of America in a work that overflows with hilarity, heartache, and grace.Read more",Vintage ,2002,English,483,"https://images-na.ssl-images-amazon.com/images/I/51I2k5d1mML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
